Record Sequence Number,EQID,Earthquake Name,YEAR,MODY,HRMN,Station Name,Station Sequence Number,Station ID  No.,Earthquake Magnitude,Strike (deg),Dip (deg),Rake Angle (deg),Mechanism Based on Rake Angle,P-plunge (deg),P-trend (deg),T-plunge (deg),T-trend (deg),Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Finite Rupture Model: 1=Yes;  0=No,Depth to Top Of Fault Rupture Model,Fault Rupture Length for Calculation of Ry (km),Fault Rupture Width (km),Fault Rupture Area (km^2),Average Vr/Vs,EpiD (km),HypD (km),Joyner-Boore Dist. (km),Campbell R Dist. (km),RmsD (km),ClstD (km),Rx,FW/HW Indicator,Source to Site Azimuth (deg),X,Y,Phi.D (deg),Unused Column.2,Depth,Preferred NEHRP Based on Vs30,Vs30 (m/s) selected for analysis,Measured/Inferred Class,Sigma of Vs30 (in natural log Units),Owner,Station Latitude,Station Longitude,STORIES,INSTLOC,Depth to Basement Rock,Site Visited,NGA Type,Northern CA/Southern CA - H11 Z1 (m),Northern CA/Southern CA - H11 Z1.5 (m),Northern CA/Southern CA - H11 Z2.5 (m),Northern CA/Southern CA - S4 Z1 (m),Northern CA/Southern CA - S4 Z1.5 (m),Northern CA/Southern CA - S4 Z2.5 (m),Rebe (m),File Name (Horizontal 1),File Name (Horizontal 2),File Name (Vertical),H1 azimth (degrees),H2 azimith (degrees),Type of Recording,Instrument Model,PEA Processing Flag,Type of Filter,npass,nroll,HP-H1 (Hz),HP-H2 (Hz),LP-H1 (Hz),LP-H2 (Hz),Factor,Lowest Usable Freq - H1 (Hz),Lowest Usable Freq - H2 (H2),Lowest Usable Freq - Ave. Component (Hz),PGA (g),PGV (cm/sec),PGD (cm),T0.010S,T0.020S,T0.030S,T0.050S,T0.075S,T0.100S,T0.150S,T0.200S,T0.250S,T0.300S,T0.400S,T0.500S,T0.750S,T1.000S,T1.500S,T2.000S,T3.000S,T4.000S,T5.000S,T6.000S,T7.500S,T10.000S,U,Damping (%),RotD percentile,Instrument Nat. Freq.,Instrument Damping,Instrument Type,Quality_Flag,Spectra Quality Flag,Late S-trigger,Late P-trigger
529,101,N. Palm Springs,1986,708,920,North Palm Springs,222,5070,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,10.57,15.26,0.0,-999.0,11.46,4.04,0.56,hw,90.0,0.43,0.73,14.47,-999,D,D,344.67,2a_3a_4b_4c,0.25,USGS,33.924,-116.543,1,GROUND LEVEL,1.0,-999,-999,60.0,-999.0,320.0,840.0,-999.0,840.0,-999.0,PALMSPR\NPS210.AT2,PALMSPR\NPS300.AT2,PALMSPR\NPS-UP.AT2,210,300,A,-999,PEA,A,1,2.5,0.13,0.2,20.0,30.0,1.25,0.1625,0.25,0.25,0.68434,50.667,11.872,0.6884385,0.6950511,0.7194104,0.7614343,0.9730505,1.335358,1.581953,1.434513,1.14564,1.395568,0.9080877,0.5782183,0.6234226,0.6653467,0.3298621,0.1902432,0.07111487,0.03920841,0.02481627,0.01665804,0.01013856,0.005375564,0.76945905,5,50,-999.0,-999.0,-999,-999,0,-999,?
530,101,N. Palm Springs,1986,708,920,Palm Springs Airport,265,12025,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,21.14,23.83,10.08,-999.0,20.82,10.84,-8.71,nu,-120.19,0.47,0.73,10.63,-999,D,D,312.47,2a_3a_4b_4c,0.25,CDMG,33.829,-116.512,0,GROUND LEVEL,0.67,-999,-999,80.0,-999.0,280.0,380.0,-999.0,380.0,-999.0,PALMSPR\PSA000.AT2,PALMSPR\PSA090.AT2,PALMSPR\PSAXXX.AT2,0,90,A,-999,PEA,A,1,2.5,0.15,0.2,50.0,60.0,1.25,0.1875,0.25,0.25,0.17439,12.33,2.4024,0.1756759,0.1898286,0.2680816,0.3035169,0.4531262,0.5166658,0.4136959,0.3942795,0.3115105,0.3388172,0.2293486,0.2021537,0.2278037,0.1899002,0.08307844,0.06935477,0.02908073,0.01000623,0.006619182,0.003159188,0.001928512,0.000980545,-5.0682193,5,50,-999.0,-999.0,-999,-999,0,-999,?
531,101,N. Palm Springs,1986,708,920,Puerta La Cruz,268,12168,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,75.51,76.31,67.38,-999.0,74.12,67.5,-67.08,nu,-95.41,0.47,0.73,37.53,-999,S,C,442.7,2a_3a_4b_4c,0.25,CDMG,33.324,-116.683,1,GROUND LEVEL,-999.0,-999,-999,60.0,-999.0,300.0,-999.0,-999.0,-999.0,-999.0,PALMSPR\PLC258.AT2,PALMSPR\PLC348.AT2,PALMSPR\PLC-UP.AT2,258,348,A,-999,PEA,A,1,2.5,0.5,0.4,38.0,32.0,1.25,0.625,0.5,0.625,0.060426,1.9699,0.15871,0.06052973,0.0623541,0.0670441,0.1148595,0.1811143,0.1742911,0.1499326,0.2131646,0.1613954,0.07428865,0.03516634,0.03754317,0.02110354,0.01292034,0.005713427,0.003161123,0.000817794,0.000435248,0.000277112,0.000175584,0.000118518,6.57469e-05,-6.3487414,5,50,-999.0,-999.0,-999,-999,0,-999,?
532,101,N. Palm Springs,1986,708,920,"Rancho Cucamonga - Law and Justince Center FF, Foothill and Haven",301,23497,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,89.47,90.15,77.98,-999.0,88.43,78.09,-7.68,nu,-5.65,0.53,0.73,8.74,-999,D,C,390.18,0,0.2,CDMG,34.104,-117.574,0,GROUND LEVEL,0.25,-999,5,60.0,-999.0,280.0,320.0,-999.0,400.0,-999.0,PALMSPR\CLJ000.AT2,PALMSPR\CLJ090.AT2,PALMSPR\CLJXXX.AT2,0,90,A,-999,PEA,A,1,2.5,0.3,0.3,41.0,39.0,1.25,0.375,0.375,0.375,0.019599,1.075,0.26674,0.01983563,0.02047893,0.02124606,0.03484042,0.04761368,0.05443626,0.06212667,0.05005953,0.04167372,0.03448464,0.0302335,0.02460473,0.02450891,0.01143235,0.0115008,0.01101846,0.004166635,0.001388163,0.000663734,0.000379188,0.000226119,0.000118854,97.605385,5,50,-999.0,-999.0,-999,-999,0,-999,DNR
533,101,N. Palm Springs,1986,708,920,Riverside Airport,275,13123,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,77.18,77.96,64.83,-999.0,75.8,64.95,-20.65,nu,-18.57,0.53,0.73,24.15,-999,S,C,389.95,2a_3a_4b_4c,0.3,CDMG,33.951,-117.446,1,GROUND LEVEL,-999.0,-999,-999,60.0,-999.0,240.0,320.0,-999.0,320.0,-999.0,PALMSPR\RIV180.AT2,PALMSPR\RIV270.AT2,PALMSPR\RIV-UP.AT2,180,270,A,-999,PEA,A,1,2.5,0.6,0.6,40.0,42.0,1.25,0.75,0.75,0.75,0.04269,1.0615,0.072682,0.04282452,0.04796525,0.06404183,0.09032292,0.09336063,0.08876877,0.09475745,0.1574361,0.06166391,0.03986817,0.02118727,0.01326028,0.01108936,0.007351605,0.004366941,0.001450603,0.000444326,0.000203646,0.000117118,8.2067e-05,5.65496e-05,3.0721e-05,81.450136,5,50,-999.0,-999.0,-999,-999,0,-999,?
534,101,N. Palm Springs,1986,708,920,San Jacinto - Soboba,270,12204,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,33.53,35.29,22.96,-999.0,32.21,23.31,-22.04,fw,-73.72,0.53,0.73,25.11,-999,S,C,447.22,2a_3a_4b_4c,0.25,CDMG,33.797,-116.88,1,GROUND LEVEL,0.1,-999,-999,60.0,-999.0,340.0,-999.0,-999.0,-999.0,-999.0,PALMSPR\H08000.AT2,PALMSPR\H08090.AT2,PALMSPR\H08-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.2,0.2,48.0,49.0,1.25,0.25,0.25,0.25,0.23722,10.848,1.1903,0.2399106,0.2473669,0.2700035,0.3105184,0.3628772,0.4926043,0.6165724,0.8697414,0.5552639,0.3480255,0.3546393,0.2766649,0.1303575,0.1230818,0.04838341,0.01911696,0.009058457,0.004845387,0.003011848,0.001874386,0.001077688,0.0005408,26.437581,5,50,-999.0,-999.0,-999,-999,0,-999,?
535,101,N. Palm Springs,1986,708,920,San Jacinto - Valley Cemetary,269,12202,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,41.82,43.24,30.71,-999.0,40.31,30.97,-28.12,fw,-66.33,0.53,0.73,28.51,-999,S,D,330.74,2a_3a_4b_4c,0.3,CDMG,33.76,-116.96,1,GROUND LEVEL,-999.0,-999,-999,60.0,-999.0,340.0,-999.0,-999.0,-999.0,-999.0,PALMSPR\H06270.AT2,PALMSPR\H06360.AT2,PALMSPR\H06-UP.AT2,270,0,A,-999,PEA,A,1,2.5,0.33,0.3,38.0,31.0,1.25,0.4125,0.375,0.4125,0.066714,3.7474,0.7221,0.0668112,0.06773733,0.07079343,0.09197632,0.113058,0.1187441,0.1897151,0.1553666,0.1060479,0.1326672,0.1290467,0.1028667,0.05830719,0.04793784,0.03674886,0.01715107,0.005254206,0.002566996,0.001457847,0.000870235,0.000503048,0.000273786,32.327804,5,50,-999.0,-999.0,-999,-999,0,-999,?
536,101,N. Palm Springs,1986,708,920,Santa Rosa Mountain,235,5230,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,48.98,50.2,38.94,-999.0,48.08,39.14,-36.42,nu,-110.7,0.47,0.73,31.72,-999,S,C,678.69,2a_3a_4b_4c,0.4,USGS,33.568,-116.51,0,GROUND LEVEL,0.0,-999,-999,40.0,-999.0,240.0,20.0,-999.0,20.0,-999.0,PALMSPR\ARS270.AT2,PALMSPR\ARS360.AT2,PALMSPR\ARS-UP.AT2,270,0,A,-999,PEA,A,1,2.5,0.4,0.23,43.0,43.0,1.25,0.5,0.2875,0.5,0.1029,2.4578,0.25048,0.103787,0.1157563,0.1603165,0.1899758,0.2139817,0.2572491,0.2650126,0.173621,0.1122782,0.07336865,0.1041096,0.03613589,0.03531437,0.02456739,0.007838761,0.003674683,0.001673952,0.00071,0.000423468,0.000285375,0.000181267,0.00010312,-13.765268,5,50,-999.0,-999.0,-999,-999,0,-999,?
537,101,N. Palm Springs,1986,708,920,Silent Valley - Poppet Flat,271,12206,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,27.7,29.8,16.55,-999.0,26.43,17.03,-15.54,fw,-69.84,0.53,0.73,19.77,-999,S,C,659.09,2a_3a_4b_4c,0.4,CDMG,33.851,-116.852,0,GROUND LEVEL,0.0,-999,-999,40.0,-999.0,800.0,-999.0,-999.0,-999.0,-999.0,PALMSPR\SIL000.AT2,PALMSPR\SIL090.AT2,PALMSPR\SIL-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.5,0.5,47.0,49.0,1.25,0.625,0.625,0.625,0.1323,3.714,0.32432,0.1333346,0.1439194,0.1605151,0.1880079,0.2870251,0.4961793,0.2998748,0.1902812,0.1879953,0.1622895,0.1098542,0.08168612,0.03797952,0.02891513,0.01001222,0.00424989,0.001762455,0.000925576,0.00055903,0.000375607,0.000234937,0.000130562,25.703418,5,50,-999.0,-999.0,-999,-999,0,-999,?
538,101,N. Palm Springs,1986,708,920,Sunnymead,201,5038,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,50.13,51.32,37.66,-999.0,48.71,37.87,-13.39,nu,-20.83,0.53,0.73,17.4,-999,D,D,340.32,2a_3a_4b_4c,0.25,USGS,33.946,-117.151,2,GROUND LEVEL,-999.0,-999,-999,80.0,-999.0,300.0,-999.0,-999.0,-999.0,-999.0,PALMSPR\SNY225.AT2,PALMSPR\SNY315.AT2,PALMSPR\SNY-UP.AT2,225,315,A,-999,PEA,A,1,2.5,0.11,0.4,33.0,33.0,1.25,0.1375,0.5,0.5,0.12263,4.7326,0.92566,0.1233766,0.1244275,0.1281812,0.156017,0.231013,0.2893118,0.290358,0.2285165,0.3540289,0.3061669,0.1786215,0.1679692,0.06686103,0.05025665,0.03396762,0.02397672,0.006795526,0.002946794,0.002761512,0.001762789,0.000843158,0.000460654,55.196414,5,50,-999.0,-999.0,-999,-999,0,-999,?
539,101,N. Palm Springs,1986,708,920,Temecula - 6th & Mercedes,277,13172,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,74.95,75.75,64.68,-999.0,73.18,64.8,-61.3,nu,-71.4,0.53,0.73,36.82,-999,D,C,416.15,2a_3a_4b_4c,0.3,CDMG,33.496,-117.149,0,GROUND LEVEL,-999.0,-999,-999,60.0,-999.0,220.0,-999.0,-999.0,-999.0,-999.0,PALMSPR\TFS000.AT2,PALMSPR\TFS090.AT2,PALMSPR\TFS-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.2,0.2,25.0,25.0,1.25,0.25,0.25,0.25,0.10277,5.7686,0.90237,0.1029614,0.1038101,0.1050807,0.1096587,0.1283696,0.1787131,0.2153762,0.2982066,0.3340881,0.413748,0.174411,0.1054362,0.06796917,0.08036705,0.03149645,0.01842717,0.01521684,0.005641364,0.00247974,0.001320195,0.000874765,0.000417151,40.625612,5,50,-999.0,-999.0,-999,-999,0,-999,?
540,101,N. Palm Springs,1986,708,920,Whitewater Trout Farm,224,5072,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,4.24,11.79,0.0,-999.0,9.99,6.04,4.53,hw,90.0,0.18,0.71,32.4,-999,S,C,425.02,2a_3a_4b_4c,0.3,USGS,33.99,-116.656,1,GROUND LEVEL,0.027,-999,-999,60.0,-999.0,280.0,100.0,-999.0,100.0,-999.0,PALMSPR\WWT180.AT2,PALMSPR\WWT270.AT2,PALMSPR\WWT-UP.AT2,180,270,A,-999,PEA,A,1,2.5,0.0,0.12,30.0,50.0,1.25,0.0,0.15,0.15,0.59665,35.919,4.8758,0.6033571,0.6527233,0.6738831,0.7312845,0.6956029,1.079246,1.384042,1.536744,1.373882,1.139008,1.107334,1.108916,0.4353486,0.2919226,0.1228354,0.08056264,0.03920192,0.01987551,0.01079005,0.006763088,0.004079354,0.002165786,12.891434,5,50,-999.0,-999.0,-999,-999,0,-999,?
541,101,N. Palm Springs,1986,708,920,Winchester Bergman Ran,280,13199,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,59.94,60.94,48.92,-999.0,58.26,49.09,-44.49,nu,-65.42,0.53,0.73,33.89,-999,S,C,537.95,2a_3a_4b_4c,0.4,CDMG,33.64,-117.094,0,GROUND LEVEL,0.0,-999,-999,40.0,-999.0,200.0,-999.0,-999.0,-999.0,-999.0,PALMSPR\H02000.AT2,PALMSPR\H02090.AT2,PALMSPR\H02-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.4,0.6,42.0,50.0,1.25,0.5,0.75,0.75,0.083613,1.9099,0.20477,0.08507535,0.09429841,0.134544,0.1390011,0.2253164,0.2753772,0.1789547,0.09928707,0.05660023,0.07133286,0.02839298,0.03289277,0.01320816,0.016288,0.006800166,0.004528591,0.001196141,0.00051237,0.00030654,0.000220258,0.000141761,7.66398e-05,40.352035,5,50,-999.0,-999.0,-999,-999,0,-999,?
542,101,N. Palm Springs,1986,708,920,Winchester Page Bros R,281,13201,6.06,287.0,46.0,150,3,13.7,157.93,48.2,263.75,34.0,-116.6117,11.0,1,4.0,20.0,13.3,266.1,0.7915567282321899,49.22,50.43,38.01,-999.0,47.62,38.22,-34.25,fw,-64.32,0.53,0.73,31.0,-999,S,D,287.87,2a_3a_4b_4c,0.25,CDMG,33.718,-117.022,0,GROUND LEVEL,-999.0,-999,-999,60.0,-999.0,260.0,-999.0,-999.0,-999.0,-999.0,PALMSPR\H04000.AT2,PALMSPR\H04090.AT2,PALMSPR\H04-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.23,0.3,50.0,37.0,1.25,0.2875,0.375,0.375,0.10736,4.5053,0.56446,0.1074972,0.1113958,0.1186741,0.1219941,0.1619839,0.2200519,0.3045743,0.2850088,0.1847347,0.2293762,0.2090083,0.1373569,0.07251567,0.07081184,0.01826544,0.008635014,0.005878473,0.002074579,0.001085747,0.000719996,0.000438196,0.000241779,36.470124,5,50,-999.0,-999.0,-999,-999,0,-999,?
543,102,Chalfant Valley-01,1986,720,1429,Benton,430,54100,5.77,48.0,90.0,20,0,14.0,181.22,14.0,274.78,37.576,-118.448,6.7,1,2.0,7.5,6.0,45.0,-999.0,27.03,27.85,24.25,-999.0,26.66,24.33,-21.61,na,-63.06,0.7,0.78,72.77,-999,D,C,370.94,2a_3a_4b_4c,0.25,CDMG,37.818,-118.475,1,GROUND LEVEL,1.2,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.B\B-BEN270.AT2,CHALFANT.B\B-BEN360.AT2,CHALFANT.B\B-BEN-UP.AT2,270,0,A,-999,PEA,A,1,2.5,0.2,0.2,30.0,30.0,1.25,0.25,0.25,0.25,0.051112,2.6401,0.50734,0.05115177,0.05285066,0.05400888,0.0756744,0.1179627,0.119317,0.1707942,0.1764214,0.1262078,0.1255486,0.08473966,0.1087153,0.04724651,0.02342484,0.01902219,0.01409276,0.007108897,0.003282324,0.001736774,0.001012449,0.000591631,0.000248303,18.484662,5,50,-999.0,-999.0,-999,-999,0,-999,?
544,102,Chalfant Valley-01,1986,720,1429,Bishop - LADWP South St,432,54171,5.77,48.0,90.0,20,0,14.0,181.22,14.0,274.78,37.576,-118.448,6.7,1,2.0,7.5,6.0,45.0,-999.0,24.47,25.37,23.38,-999.0,25.8,23.47,20.93,na,116.5,0.3,0.78,72.26,-999,D,D,303.47,2a_3a_4b_4c,0.25,CDMG,37.36,-118.396,1,GROUND LEVEL,1.2,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.B\B-LAD180.AT2,CHALFANT.B\B-LAD270.AT2,CHALFANT.B\B-LAD-UP.AT2,180,270,A,-999,PEA,A,1,2.5,0.12,0.11,20.0,20.0,1.25,0.15,0.1375,0.15,0.09824,9.4207,2.718,0.09835368,0.09942054,0.1011793,0.1038182,0.1245125,0.1725633,0.2843595,0.213365,0.3407459,0.2382668,0.1750353,0.1701032,0.1416742,0.1442518,0.08949279,0.03800738,0.03901174,0.01823072,0.01115376,0.007134806,0.003160224,0.00135602,-10.431785,5,50,-999.0,-999.0,-999,-999,0,-999,?
545,102,Chalfant Valley-01,1986,720,1429,Bishop - Paradise Lodge,437,54424,5.77,48.0,90.0,20,0,14.0,181.22,14.0,274.78,37.576,-118.448,6.7,1,2.0,7.5,6.0,45.0,-999.0,17.22,18.48,14.99,-999.0,19.12,15.13,-1.26,na,-175.17,0.3,0.78,10.57,-999,S,C,585.12,2a_3a_4b_4c,0.33,CDMG,37.481,-118.602,1,GROUND LEVEL,0.3,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.B\B-BPL070.AT2,CHALFANT.B\B-BPL160.AT2,CHALFANT.B\B-BPL-UP.AT2,70,160,A,-999,PEA,A,1,2.5,0.11,0.08,30.0,30.0,1.25,0.1375,0.1,0.1375,0.068012,6.5265,2.6452,0.06805106,0.06968849,0.07433496,0.148745,0.1699914,0.1584047,0.2023716,0.1068607,0.07235337,0.09010676,0.08767266,0.08509306,0.06811611,0.05880248,0.03168326,0.01637187,0.01615834,0.0125492,0.00701088,0.004568895,0.002381725,0.001371778,-14.941141,5,50,-999.0,-999.0,-999,-999,0,-999,?
546,102,Chalfant Valley-01,1986,720,1429,Lake Crowley - Shehorn Res.,439,54T03,5.77,48.0,90.0,20,0,14.0,181.22,14.0,274.78,37.576,-118.448,6.7,1,2.0,7.5,6.0,45.0,-999.0,26.07,26.92,24.37,-999.0,27.66,24.45,-16.21,na,-138.3,0.3,0.78,67.53,-999,S,C,456.83,2a_3a_4b_4c,0.25,CDMG,37.561,-118.743,1,GROUND LEVEL,0.096,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.B\B-SHE009.AT2,CHALFANT.B\B-SHE099.AT2,CHALFANT.B\B-SHE-UP.AT2,9,99,A,-999,PEA,A,1,2.5,0.15,0.16,30.0,20.0,1.25,0.1875,0.2,0.2,0.042513,2.2722,0.82133,0.04277153,0.04379973,0.04525546,0.05284033,0.05923041,0.08471607,0.08956105,0.1402364,0.1500634,0.09877194,0.0458231,0.05018182,0.02851993,0.01413978,0.01123086,0.01057274,0.004499182,0.003652593,0.002503658,0.00138631,0.000866317,0.000382723,-18.19775,5,50,-999.0,-999.0,-999,-999,0,-999,?
547,102,Chalfant Valley-01,1986,720,1429,Zack Brothers Ranch,438,54428,5.77,48.0,90.0,20,0,14.0,181.22,14.0,274.78,37.576,-118.448,6.7,1,2.0,7.5,6.0,45.0,-999.0,10.54,12.49,6.07,-999.0,10.12,6.39,-4.18,na,-43.47,0.7,0.78,31.87,-999,D,D,316.19,2a_3a_4b_4c,-999.0,CDMG,37.662,-118.398,-999,-999,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.B\B-ZAK270.AT2,CHALFANT.B\B-ZAK360.AT2,CHALFANT.B\B-ZAK-UP.AT2,270,0,A,-999,PEA,A,1,2.5,0.09,0.07,33.0,30.0,1.25,0.1125,0.0875,0.1125,0.24196,23.143,6.1459,0.24224,0.2452721,0.2500883,0.307665,0.3624571,0.4875887,0.5322039,0.4374103,0.5053353,0.6063585,0.7624978,0.6918291,0.2250233,0.1437311,0.07704052,0.04845882,0.02444114,0.02443993,0.02199211,0.01346289,0.00758646,0.003111878,11.907966,5,50,-999.0,-999.0,-999,-999,0,-999,?
548,103,Chalfant Valley-02,1986,721,1442,Benton,430,54100,6.19,148.0,55.0,-163,0,35.09,2.26,13.66,102.1,37.5383,-118.443,10.0,1,4.0,15.0,8.0,119.9,-999.0,31.25,32.81,21.55,-999.0,29.56,21.92,-9.83,nu,-152.86,0.58,0.92,19.67,-999,D,C,370.94,2a_3a_4b_4c,0.25,CDMG,37.818,-118.475,1,GROUND LEVEL,1.2,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.A\A-BEN270.AT2,CHALFANT.A\A-BEN360.AT2,CHALFANT.A\A-BEN-UP.AT2,270,0,A,-999,PEA,A,1,2.5,0.1,0.1,40.0,33.0,1.25,0.125,0.125,0.125,0.19196,15.164,2.9291,0.1923248,0.1955764,0.2055284,0.254999,0.3523088,0.3894033,0.5865154,0.5221164,0.3991441,0.3035792,0.3017635,0.3270258,0.2222609,0.2538674,0.1077489,0.08933386,0.02826079,0.01458126,0.008795905,0.005061438,0.003200173,0.001576334,-19.180701,5,50,-999.0,-999.0,-999,-999,0,-999,?
549,103,Chalfant Valley-02,1986,721,1442,Bishop - LADWP South St,432,54171,6.19,148.0,55.0,-163,0,35.09,2.26,13.66,102.1,37.5383,-118.443,10.0,1,4.0,15.0,8.0,119.9,-999.0,20.27,22.6,14.38,-999.0,22.63,17.17,11.26,nu,41.5,0.42,0.52,69.95,-999,D,D,303.47,2a_3a_4b_4c,0.25,CDMG,37.36,-118.396,1,GROUND LEVEL,1.2,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.A\A-LAD180.AT2,CHALFANT.A\A-LAD270.AT2,CHALFANT.A\A-LAD-UP.AT2,180,270,A,-999,PEA,A,1,2.5,0.1,0.08,40.0,30.0,1.25,0.125,0.1,0.125,0.20475,20.953,7.1384,0.2051351,0.2061132,0.210602,0.2369374,0.2709969,0.3533164,0.4298018,0.6472949,0.7710428,0.5258382,0.5298812,0.443512,0.3192214,0.2546416,0.1154754,0.07810131,0.06263199,0.04255668,0.03565171,0.01978826,0.009843591,0.004446786,27.732363,5,50,-999.0,-999.0,-999,-999,0,-999,?
550,103,Chalfant Valley-02,1986,721,1442,Bishop - Paradise Lodge,437,54424,6.19,148.0,55.0,-163,0,35.09,2.26,13.66,102.1,37.5383,-118.443,10.0,1,4.0,15.0,8.0,119.9,-999.0,15.42,18.37,14.97,-999.0,19.34,18.31,19.55,hw,90.0,0.14,0.07,88.2,-999,S,C,585.12,2a_3a_4b_4c,0.33,CDMG,37.481,-118.602,1,GROUND LEVEL,0.3,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.A\A-BPL070.AT2,CHALFANT.A\A-BPL160.AT2,CHALFANT.A\A-BPL-UP.AT2,70,160,A,-999,PEA,A,1,2.5,0.1,0.1,30.0,40.0,1.25,0.125,0.125,0.125,0.15203,9.3516,3.4654,0.1523181,0.1551231,0.1706766,0.381506,0.3599024,0.2705698,0.4600086,0.3082432,0.1658771,0.136326,0.1449267,0.0950336,0.05594462,0.05522817,0.07727556,0.05333037,0.02693202,0.01366939,0.008469899,0.005919913,0.004208113,0.002015886,6.6614998,5,50,-999.0,-999.0,-999,-999,0,-999,?
551,103,Chalfant Valley-02,1986,721,1442,Convict Creek,429,54099,6.19,148.0,55.0,-163,0,35.09,2.26,13.66,102.1,37.5383,-118.443,10.0,1,4.0,15.0,8.0,119.9,-999.0,35.24,36.63,29.35,-999.0,36.43,31.19,28.78,nu,120.01,0.58,0.08,77.2,-999,S,C,382.12,2a_3a_4b_4c,-999.0,CDMG,37.614,-118.831,1,GROUND LEVEL,-999.0,-999,-999,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,CHALFANT.A\A-CVK000.AT2,CHALFANT.A\A-CVK090.AT2,CHALFANT.A\A-CVK-UP.AT2,0,90,A,-999,PEA,A,1,2.5,0.13,0.12,30.0,30.0,1.25,0.1625,0.15,0.1625,0.060077,3.8735,1.0516,0.06020663,0.06085324,0.0626431,0.07433578,0.1172791,0.135614,0.1628947,0.1521736,0.1459859,0.1442033,0.1197259,0.1235277,0.05886965,0.04731744,0.03692348,0.03084638,0.01042476,0.005340253,0.003643217,0.002216373,0.001317937,0.000661078,-16.622865,5,50,-999.0,-999.0,-999,-999,0,-999,?
