time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-01T23:35:06.760Z,35.6553333,-117.463,1.9,2.83,ml,36,42,0.03347,0.16,ci,ci39034088,2019-09-01T23:45:41.130Z,"14km SSW of Searles Valley, CA",earthquake,0.19,0.33,0.188,25,automatic,ci,ci
2019-09-01T22:30:05.020Z,35.1618333,-118.2056667,5.05,2.5,ml,61,24,0.1553,0.15,ci,ci39033976,2019-09-03T19:08:04.240Z,"12km NNW of Mojave, CA",earthquake,0.12,0.96,0.226,183,reviewed,ci,ci
2019-08-31T07:26:56.980Z,35.8291667,-117.6813333,7.89,2.72,ml,38,42,0.06943,0.19,ci,ci39028608,2019-08-31T13:18:00.411Z,"23km N of Ridgecrest, CA",earthquake,0.23,0.75,0.196,25,automatic,ci,ci
2019-08-31T00:18:19.060Z,36.086,-117.8621667,1.8,2.58,ml,34,95,0.03207,0.17,ci,ci39027496,2019-08-31T00:28:59.140Z,"9km ENE of Coso Junction, CA",earthquake,0.25,0.33,0.193,25,automatic,ci,ci
2019-08-30T19:54:43.370Z,36.2076667,-117.8565,2.98,2.52,ml,29,66,0.08991,0.18,ci,ci39026808,2019-08-30T20:05:44.800Z,"16km ESE of Olancha, CA",earthquake,0.27,0.98,0.098,25,automatic,ci,ci
2019-08-30T11:58:32.990Z,35.7095,-117.5501667,7.45,2.72,ml,40,57,0.08862,0.22,ci,ci39025416,2019-08-30T12:09:32.320Z,"15km WSW of Searles Valley, CA",earthquake,0.28,1.02,0.162,24,automatic,ci,ci
2019-08-30T08:55:41.140Z,35.6138333,-117.4046667,2.38,2.58,ml,36,85,0.05347,0.17,ci,ci39024928,2019-08-30T09:06:38.950Z,"17km S of Trona, CA",earthquake,0.25,0.4,0.173,25,automatic,ci,ci
2019-08-29T03:23:49.220Z,35.7625,-117.5918333,2.31,2.91,ml,39,54,0.05333,0.17,ci,ci39020296,2019-08-29T17:36:07.235Z,"17km W of Searles Valley, CA",earthquake,0.19,0.4,0.19,25,automatic,ci,ci
2019-08-28T02:23:14.390Z,36.1358333,-117.975,4.59,3.29,ml,46,69,0.09896,0.15,ci,ci39016592,2019-09-10T02:52:53.040Z,"10km NNW of Coso Junction, CA",earthquake,0.14,0.61,0.16,85,reviewed,ci,ci
2019-08-27T14:39:37.320Z,35.6696667,-117.5375,9.51,2.62,ml,38,38,0.05405,0.21,ci,ci39014664,2019-08-27T18:38:50.786Z,"14km ENE of Ridgecrest, CA",earthquake,0.27,0.63,0.17,25,automatic,ci,ci
